system:index,mean,value,.geo
000000000000000000d2,371.152810653553,7079.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,370.21976529100493,7080.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,346.1648157063484,7081.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,339.59918479721955,7082.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6,332.28797819790447,7083.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,330.5411386208913,7084.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,320.43799880429225,7085.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,304.2949520816885,7086.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,303.04870276729923,7087.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,322.222333177918,7088.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,331.6832993284423,7089.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,334.3576179657146,7090.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de,331.0249959668606,7091.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df,334.8963896626253,7092.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0,354.0945738974414,7093.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,258.3703999291429,7094.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2,214.41826874109256,7095.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3,204.89554174860135,7096.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4,205.0833520581384,7097.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,203.70527824618435,7098.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6,205.6219190993106,7099.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7,247.61014073279648,7100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8,232.1177628295109,7101.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9,253.16628900166162,7102.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea,273.42615949405,7103.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb,273.20872644568146,7104.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,286.153035349011,7105.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
